iter	Logloss
0	0.6191155623
1	0.5624609688
2	0.5205017692
3	0.4865609992
4	0.457651337
5	0.4373001638
6	0.4143595502
7	0.3936726557
8	0.3775263089
9	0.3667934675
10	0.3478183366
11	0.3306944653
12	0.3188212011
13	0.3090436772
14	0.3020319499
15	0.299749658
16	0.2947093274
17	0.2910089469
18	0.2878711968
19	0.2847980826
20	0.2835685915
21	0.2827693998
22	0.2819021599
23	0.2790997287
24	0.278488459
25	0.2773576735
26	0.276200277
27	0.275442593
28	0.2745849421
29	0.2742428091
30	0.2733611207
31	0.2729767794
32	0.2727832749
33	0.2725693494
34	0.271738361
35	0.2715375747
36	0.2705058376
37	0.2696209645
38	0.2691921257
39	0.2684435954
40	0.2682737059
41	0.2680545142
42	0.2674893916
43	0.2673961295
44	0.2671076828
45	0.2661242816
46	0.2659612693
47	0.2655469539
48	0.2653884598
49	0.2648804401
50	0.2646807988
51	0.2644161546
52	0.2643315264
53	0.2641165989
54	0.2638130533
55	0.2637217352
56	0.263565224
57	0.2634936058
58	0.2634085548
59	0.2630606083
60	0.2626809174
61	0.262510739
62	0.2623819227
63	0.2619352986
64	0.2616187514
65	0.261565471
66	0.2614516431
67	0.2614401288
68	0.261236199
69	0.2612063999
70	0.2611216268
71	0.261087478
72	0.2610414987
73	0.2608979704
74	0.2608198624
75	0.2608114813
76	0.2607572202
77	0.2606878202
78	0.2605717635
79	0.2604889657
80	0.2603609441
81	0.2602991009
82	0.2601846045
83	0.2600599761
84	0.2599986622
85	0.2598432364
86	0.2597854837
87	0.2597497317
88	0.2595126553
89	0.2592227506
90	0.259216491
91	0.2591197753
92	0.2591197152
93	0.2590797375
94	0.2589568019
95	0.258671445
96	0.2584770037
97	0.2584522865
98	0.2584276072
99	0.2583834336
100	0.2583803936
101	0.2583605131
102	0.2583286823
103	0.2582762765
104	0.2582688953
105	0.2581920379
106	0.2581397538
107	0.2580945449
108	0.2580283369
109	0.2579216526
110	0.257743872
111	0.257649642
112	0.2576428126
113	0.2575702414
114	0.2575496274
115	0.2575196723
116	0.2574458394
117	0.2573930572
118	0.2571349295
119	0.2569385506
120	0.2568950608
121	0.2568679681
122	0.2568110176
123	0.2567438172
124	0.2566366496
125	0.2565777576
126	0.2564577892
127	0.2563974623
128	0.2562949189
129	0.256230641
130	0.2560679056
131	0.2559070716
132	0.2557664464
133	0.2557267644
134	0.255692694
135	0.255526337
136	0.2554279694
137	0.2553387834
138	0.255232895
139	0.2551611338
140	0.25509256
141	0.2550382798
142	0.2548308285
143	0.2547185948
144	0.2546199982
145	0.2545840758
146	0.2544978912
147	0.2543664768
148	0.2543174667
149	0.2541928062
150	0.2540879673
151	0.2540287379
152	0.2539759497
153	0.2539118937
154	0.2538250142
155	0.2537891251
156	0.2536922615
157	0.2535895754
158	0.2535748167
159	0.2535271655
160	0.2534628558
161	0.2534184789
162	0.2533420416
163	0.2532746296
164	0.253182116
165	0.2531299873
166	0.2530413711
167	0.2530257372
168	0.2529928459
169	0.2529283802
170	0.2528513167
171	0.252756198
172	0.2527208162
173	0.2526883524
174	0.2525861488
175	0.2524729335
176	0.2523913216
177	0.2523554811
